Article Count,Article ID,Publication Date,Title,Keywords,Abstract
137,37522881,2023-07-31,Mid-term outcomes of patients with subclinical hypothyroidism after coronary bypass surgery.,"Coronary artery bypass grafting"", ""Major adverse cardiovascular and cerebral event"", ""Mortality"", ""Subclinical hypothyroidism","Subclinical hypothyroidism (SCH) is characterized by an elevated thyroid-stimulating hormone and normal free thyroxine. This study aimed to evaluate the influence of SCH on mid-term outcomes of patients after coronary artery bypass grafting (CABG).
From January 2015 to December 2018, 548 SCH patients and 6718 euthyroid patients who underwent CABG were identified. Propensity score matching was used to create 2 cohorts with similar baseline characteristics (n = 544 in each group). The mid-term follow-up outcomes were compared. Adjusted hazard ratios (HRs) were calculated using Cox proportional hazards models.
The mean follow-up for all patients was 39.7 ± 17.3 months. The unadjusted Kaplan-Meier estimate for mortality at 5-year follow-up was higher in patients with SCH compared with euthyroid patients (5.3% vs 1.6%, log-rank P = 0.03). After adjusting for covariates, the risk of mortality was higher in patients with SCH compared with euthyroid patients [HR, 2.40; 95% confidence interval (CI), 1.03-5.58; P = 0.04]. The adjusted risk of major adverse cardiovascular and cerebral event (HR, 2.16; 95% CI, 1.51-3.08; P < 0.001) and angina (HR, 2.44; 95% CI, 1.41-4.24; P = 0.001) was higher in patients with SCH compared with euthyroid patients.
SCH is associated with an increased risk of mortality, major adverse cardiovascular and cerebral event and angina compared with euthyroidism in patients undergoing CABG."
138,37519616,2023-07-31,Choked: A Case Report of Oculopharyngeal Muscular Dystrophy Mimicking Hypothyroidism From the Philippines.,"dysphagia"", ""hypothyroidism"", ""oculopharyngeal muscular dystrophy"", ""philippines"", ""ptosis",Oculopharyngeal muscular dystrophy (OPMD) is a late-onset myopathic genetic disorder characterized by chronic progressive dysphagia and ptosis with or without proximal limb weakness. It is most often caused by an abnormal alanine-encoding (GCN) trinucleotide repeat expansion in the first exon of the poly(A)-binding protein nuclear 1 (
139,37517518,2023-07-31,Risk factors for hypothyroidism following hemithyroidectomy.,"Follow-up"", ""Hemithyroidectomy"", ""Hypothyroidism"", ""Lobo-isthmectomy"", ""Risk factors","Hypothyroidism is the most common complication of hemithyroidectomy for thyroid nodules. This retrospective cohort study investigated the prognostic factors for hypothyroidism following hemithyroidectomy.
We included patients who underwent hemithyroidectomy between 2016 and 2017, excluding those with history of preoperative hypothyroidism or malignancy on histopathological examination. The primary endpoint was development of hypothyroidism during follow-up (TSH≥2 above normal).
Twenty-six of the 128 included patients (20%) developed postoperative hypothyroidism. The following independent prognostic factors were found: preoperative TSH level>1.5 mIU/L (OR 2.11; P=0.013), and remaining thyroid volume adjusted for body surface area<4.0mL/m
Patients with TSH>1.5 mIU/or remaining thyroid volume adjusted for body surface area<4.0mL/m"
140,37502513,2023-07-28,Retracted: Effect of Bisphenol A-Mediated RBP-4 on Pregnancy Outcomes in Nonobese Pregnant Female with Subclinical Hypothyroidism.,N/A,[This retracts the article DOI: 10.1155/2022/9716224.].
141,37501790,2023-07-28,Treating subclinical hypothyroidism in individuals with or without mental health problems -A Delphi based expert consensus study in two countries.,"Delphi method"", ""TSH"", ""affective disorder"", ""consensus"", ""diagnosis"", ""practice guideline"", ""subclinical hypothyroidism"", ""thyroxine","Subclinical hypothyroidism (SCH) is a common endocrine problem with prevalence estimates between 4% and 20%. Symptoms are often non-specific but can substantially affect well-being leading to repeated medical consultations. The effect of thyroid hormone replacement therapy (THRT) in patients with SCH remains uncertain. Current guidelines, limited by the lack of high-quality evidence, have been controversial with limited adherence in clinical practice.
Three-round modified Delphi method to establish consensus regarding diagnosis and treatment of individuals with SCH with and without affective disorder or anxiety, conducted with clinicians from three specialties, general practice, endocrinology and psychiatry, and two countries, Sweden and the United Kingdom.
Sixty clinicians, 20 per specialty, were recruited. Fifty-three (88%) participants completed all three rounds. The participants reached consensus on five of the 26 practice statements that (a) repeated testing was required for the diagnosis of subclinical hypothyroidism, (b) antibody screening should usually occur, and (c and d) antibody screening would strengthen the indication for thyroid hormone replacement therapy in both individuals with or without affective disorder or anxiety. The participants disagreed with (e) a requirement of a TSH threshold ≥ 20 mIU/L for thyroid hormone replacement therapy start. Psychiatrists and GPs but not endocrinologists, agreed that there was a frequent discrepancy between laboratory results and clinical symptoms, and disagreed that testing for thyroid dysfunction was overused in patients presenting with depression or anxiety, or fatigue.
In many aspects, attitudes toward diagnosing and treating SCH remain diverse. The inability of our Delphi panel to achieve consensus on most items and the disagreement with a TSH ≥ 20 mIU/L threshold for treatment suggest that the concept of SCH may need rethinking with a better understanding of the hypothalamic-pituitary-thyroid physiology. Given that the scientific evidence is currently not conclusive, guidelines in this area should not be taken as definitive."
142,37501386,2023-07-28,A Large Thyroid Goiter in a Newborn With Congenital Hypothyroidism: Timeline for Decrease in Size of Thyroid.,"aerodigestive compression"", ""congenital hypothyroidism"", ""congenital neck mass"", ""endocrine surgery"", ""thyroid goiter","Congenital hypothyroidism rarely causes a clinically significant neck mass in newborns. We present the case of a newborn with congenital hypothyroidism and significantly enlarged goiter and discuss imaging considerations and medical and surgical management. This infant was prenatally discovered to have a midline neck mass on 28 week ultrasound measuring 6.0 cm × 3.4 cm × 5.8 cm. Diagnostic cordocentesis demonstrated elevated thyroid-stimulating hormone (TSH, 361 µIU/mL). Maternal evaluation for thyroid disease and antithyroid antibodies was negative. A Cesarean section at 38 weeks gestation was recommended due to hyperextension of the fetal neck. The infant was intubated for respiratory distress. Postnatal magnetic resonance imaging revealed a 5.5 cm × 4.4 cm × 7.6 cm goiter and laboratory studies confirmed the diagnosis of primary hypothyroidism (TSH 16.7 µIU/mL). Treatment was initiated with intravenous levothyroxine and transitioned to oral supplementation. Serial ultrasounds showed decreased goiter volume over several weeks, with recent volume per lobe being 22% and 44% of original volume. This case demonstrates the importance of prompt diagnosis and initiation of thyroid hormone replacement, allowing for significant goiter regression without surgical intervention and ensuring normal growth and neurodevelopmental outcome. Surgical management should be considered for those with persistent compressive symptoms despite optimal medical management."
143,37495514,2023-07-27,Alopecia areata and occurrence of vitiligo and hypothyroidism in autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy patients.,"alopecia"", ""infection-fungal","Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy (APECED) is an inherited disorder of immunity which leads to increased risk for mucocutaneous candidiasis and multiorgan autoimmune disease. While alopecia areata (AA) has been described in some patients with APECED, the extent and timing of AA is not well established and extent and timing of concomitant vitiligo and hypothyroidism has not been described. We evaluated an APECED cohort followed at the National Institutes of Health for the timing of development of associated diseases. We found AA occurred earlier in those with APECED than in the general population, was rarely the first sign of APECED, and the timing of AA onset did correlate with the timing of onset of vitiligo or hypothyroidism which also occurred at high rates and early age."
144,37493943,2023-07-26,Hepatomegaly and fatty liver disease secondary to central hypothyroidism in combination with macrosomia as initial presentation of IGSF1 deficiency syndrome.,"Central hypothyroidism"", ""IGSF1"", ""Liver disease"", ""Macrosomia","IGSF1 deficiency syndrome (immunoglobulin superfamily member 1) is considered the most common sex-linked cause of secondary congenital hypothyroidism and is characterized by a wide variety of other clinical and biochemical features, including hypoprolactinemia, transient and partial growth hormone deficiency, early/normal timing of testicular enlargement but delayed testosterone rise in puberty, and adult macro-orchidism. Congenital central hypothyroidism is a rare disease (1:65,000 births); the detection of which may be delayed and missed by neonatal screening programs since most neonatal screening programs are based on TSH determination in dried blood spots only. Untreated hypothyroidism may cause abnormal liver biochemistry and non-alcoholic fatty liver disease. Our aim is to report a case of secondary hypothyroidism in an infant with an uncommon initial presentation.
A 3-month-old male baby was referred to our hospital due to elevated alpha-fetoprotein levels, hypercholesterolemia, and macrosomia. Initial investigations revealed enlarged fatty liver and central hypothyroidism. Pituitary insufficiency was biochemically excluded and a pituitary MRI showed normal findings. Upon genetic analysis, a hemizygous variant NM_001170961.1:c.2422dup, p.(His808Profs*14), in IGSF1 gene was detected, establishing the diagnosis of the IGSF1 deficiency syndrome. In our patient, no other clinical findings were identified. Treatment with levothyroxine led to the remission of liver disease.
Liver disease may be the initial presentation of secondary hypothyroidism in neonates and infants. Macrosomia in patients with isolated secondary central hypothyroidism is a strong indicator of IGSF1 syndrome."
145,37491618,2023-07-26,Increased incidence of congenital hypothyroidism in China: An analysis of 119 million screened newborns.,"Congenital hypothyroidism"", ""Incidence"", ""Neonatal screening"", ""Preterm","Despite the lack of nationwide epidemiological studies, congenital hypothyroidism (CH) incidence in China has increased. We aimed to evaluate the trends of CH and the possible reasons behind them. Data from screened newborns from the Chinese Newborn Screening Information System from 2012 to 2019 was collected. We applied the Bayesian hierarchical Poisson regression model and meta-analysis to estimate incidence or proportion over the years. The estimated CH incidence increased from 4.01 per 10,000 births in 2012 to 5.77 per 10,000 births in 2019. The average annual growth rate (ARG) of CH incidence for all provinces varied from 0.59 to 20.96%. The most rapid rise in incidence was observed in cases with an initial thyroid stimulating hormone (TSH) concentration of < 10 mIU/L. The meta-analysis results showed that the proportion of permanent CH increased by 0.024% (95%CI: 0.011%, 0.037%) annually. Each 1 mIU/L decrease in TSH cutoff value was associated with a 2.96% increase in CH incidence. In the same period, the proportion of premature CH cases increased from 6.60 to 9.10%, which was much higher than the increase in preterm births. A significant relationship was not found between provincial growth rates in screening coverage and provincial baseline incidences of CH.  Conclusion: CH incidence has substantially increased in China. The slight adjustment of the TSH cutoff value and increasing preterm birth rate contribute to such a trend; however, the contribution is limited. What is Known: • An uptrend in congenital hypothyroidism (CH) incidence has been reported in many European and American countries in the last two decades; however, no studies have been conducted in China to explain the increased CH incidence. • We provide a detailed epidemiological report on the trends of CH during 2012-2019 in China, with an attempt to explore the reasons behind it. What is New: • This first-ever national-wide epidemiological report in China showed an uptrend in CH incidence with variations over regions and CH subtypes. The mild lowering of TSH cutoff values and the increasing preterm birth rate contributed to this uptrend."
146,37485132,2023-07-24,"Adherence to Levothyroxine Treatment Among Patients With Hypothyroidism in Madinah, Saudi Arabia: A Cross-Sectional Study.","drug adherence"", ""hypothyroidism"", ""levothyroxine"", ""medication adherence"", ""morisky medication adherence scale-8"", ""saudi arabia","Hypothyroidism is one of the most prevalent chronic diseases worldwide. The key factor for a good clinical outcome for hypothyroidism is medication adherence, as the mainstay treatment of hypothyroidism is lifelong hormonal replacement therapy, Levothyroxine (LT4). Poor adherence to LT4 is not only linked to great healthcare costs but also to significant economic burdens.
The aim of this study is to assess the medication adherence of patients on LT4 treatment in the Madinah region and its association with socio-demographic characteristics, participants' experience with hypothyroidism and taking LT4, and Morisky Medication Adherence Scale 8-Item (MMAS-8).
A cross-sectional study was conducted on 420 hypothyroidism patients on LT4 for at least three months in the Madinah region using a self-administered electronic form. The variables in the questionnaire included socio-demographic characteristics, participants' experience with hypothyroidism and taking LT4, and MMAS-8.
This study included a total of 420 patients with 81% being females, 52.1% aged 40 years and above, and 91% living in Madinah City. The study shows an overall poor adherence rate toward taking LT4, where the vast majority, 66.7% of the participants, had a low adherence level toward taking LT4, 23.3% had a moderate adherence level, and only 10% had a high adherence level. Results of the multivariate logistic regression showed that the following factors predicted a higher rate of a high level of adherence toward taking levothyroxine, being 50-59 years old, being 60 years or older, and following up regularly in the clinic.
Patients with hypothyroidism showed low adherence to LT4."
147,37484968,2023-07-24,Subclinical hypothyroidism increases insulin resistance in normoglycemic people.,"diabetes"", ""insulin resistance"", ""subclinical hypothyroidism"", ""thyroid hormone sensitivity"", ""thyroid stimulating hormone","To investigate the effect of simple subclinical hypothyroidism (SCH) and type 2 diabetes mellitus (T2DM) combined with SCH on insulin resistance.
A total of 622 people with newly diagnosed T2DM were selected as the study subjects, and 621 normoglycemic people were selected as control subjects. According to the diagnostic criteria of thyroid diseases, the subjects were divided into a normal thyroid function group and a subclinical hypothyroidism group. Both groups received a physical examination, and blood samples were collected. The measurement indexes included FPG, FINS, OGTT2hPG, OGTT2hINS, HbA1c, TC, TG, HDL-C, LDL-C, TSH, FT3 and FT4. HOMA-IR, HOMA-β, and TFQI (thyroid feedback quantile index) were calculated.
There was no significant difference in age or sex distribution between the T2DM group and the normoglycemic group (P>0.05). The prevalence of thyroid dysfunction in the T2DM group was significantly higher than that in the normoglycemic group (16.39% vs. 11.27%, P<0.05), and among the different types of thyroid dysfunction, the prevalence of SCH was the highest at 14.95% (P<0.05). There was no significant difference in BMI, waist-hip ratio, blood lipid profile, HOMA-β, and HOMA-IR values between the T2DM with subclinical hypothyroidism group (T2DM+SCH+ group) and the normal thyroid function group (T2DM+SCH- group) (P>0.05). The BMI, waist-hip ratio and HOMA-IR values of the normoglycemic group with subclinical hypothyroidism (T2DM-SCH+ group) were significantly higher than those of the normoglycemic group with normal thyroid function (T2DM-SCH- group) (P<0.05), and there were no significant differences between the T2DM+SCH- and T2DM+SCH+ groups (P>0.05). HOMA-β values were significantly higher in the T2DM-SCH+ group than in the T2DM-SCH-, T2DM+SCH- and T2DM+SCH+ groups (P<0.05). As the TFQI value increased, the body weight, waist-hip ratio, diastolic blood pressure, FPG, OGTT2hPG and HbA1c values gradually increased in the T2DM group and normoglycemic group (P<0.05). HDL-C, FINS, OGTT2hINS and HOMA-β values gradually decreased (P<0.05).
Subclinical hypothyroidism only increases insulin resistance in normoglycemic people. As the sensitivity of the central thyroid decreases, the risk of developing diabetes increases."
148,37482305,2023-07-24,The memory impairment by hypothyroidism in mice is dependent on time-of-day and sex.,"Hypothyroidism"", ""Object recognition memory"", ""Sex dimorphism"", ""Thyroid hormones"", ""Time-of-day","Hypothyroidism is an endocrine-metabolic disorder, and as such it compromises a wide range of physiological functions. Memory deficits and, the most recently described, circadian rhythm disruption are among the impairments caused by thyroid dysfunctions. However, although highly likely, there is no evidence connecting these two effects of hypothyroidism. Here, we hypothesized the time-of-day interferes with the memory deficit caused by hypothyroidism. C57BL/6 J mice from both sexes were subjected to novel object recognition (NOR) task during the rest and active phases, corresponding to ZT 2-4 and 14-16, respectively (ZT: Zeitgeber time; ZT 0: lights on at 07:00 am). First, we showed that neither sex nor ZT altered object recognition memory (ORM) in euthyroid mice. Next, animals were divided into control (euthyroid) and hypothyroid [induced with methimazole (0.01%) and perchlorate (0.1%) treatment in the drinking water for 21 days] groups. Under euthyroid conditions, male and female mice recognized the novel object regardless of the time-of-day. However, hypothyroidism impaired ORM at rest phase (ZT 2-4) in both sexes. Surprisingly, in the active phase (ZT 14-16), the hypothyroid males performed the NOR, though a longer time to execute the task was required. In contrast, female hypothyroid mice showed a greater impairment in ORM. Our results suggest that hypothyroidism may disrupt the circadian rhythm in brain areas related to mnemonic processes since in euthyroid condition ORM is not affected by the time-of-day. Furthermore, our findings in an animal model indicate a pronounced deleterious effect of hypothyroidism in women."
149,37476599,2023-07-21,An atypical presentation of hypothyroidism with extremely exaggerated functional impairment.,"hypothyroidism"", ""myopathy"", ""myopathy‐associated hypothyroidism"", ""pseudo‐polymyositis","Myopathy-related symptoms are rare manifestations of hypothyroidism. Clinicians should consider hypothyroid myopathy as one of the possible diagnoses for patients with proximal weaknesses.
Myopathy-related symptoms are rare manifestations of hypothyroidism. Clinicians should consider hypothyroid myopathy as one of the possible diagnoses for patients with proximal weaknesses. We report a 34-year-old woman, presenting with a new atypical musculoskeletal manifestation of hypothyroidism mimicking polymyositis."
150,37469810,2023-07-20,Symptomatic Junctional Bradycardia Due to Untreated Hypothyroidism After Beta-Blocker Discontinuation: A Case Report.,"beta-blocker side effects"", ""hypothyroidism and bradycardia"", ""junctional bradycardia"", ""paroxysmal atrial fibrillation"", ""thyroid supplementation","Hypothyroidism is known to cause bradycardia, but there are no direct comparisons of the level of thyroid-stimulating hormone (TSH) to heart rate (HR) to assist in therapeutic hormonal management. This case presents a patient who developed symptomatic junctional bradycardia and underwent serial TSH testing to attempt to improve her HR while minimizing systemic toxicity from levothyroxine. The patient had a history of paroxysmal atrial fibrillation on beta-blocker therapy and hypothyroidism and developed symptomatic junctional bradycardia following a lapse in her thyroid supplementation. Upon initiation of hormonal replacement therapy, serial TSH levels were assessed as she continued to have episodic bradycardia with severe hypertension. Given the lack of evidence correlating TSH levels to HR, this case report calls for further studies to be conducted to create reliable guidelines in therapeutic management to prevent bradycardia events while minimizing systemic levothyroxine toxicity."
151,37469355,2023-07-20,Increased 10-year cardiovascular disease risk in depressed patients with coexisting subclinical hypothyroidism.,"cardiovascular disease risk"", ""comorbidity"", ""depression"", ""female"", ""subclinical hypothyroidism","The prevalence of depressive disorder (DD) and subclinical hypothyroidism (SH) was almost twofold higher in women compared with men, both of which are confirmed to be related to cardiovascular disease (CVD) risk. The current study aimed to identify the prevalence of CVD risk factors and evaluate the 10-year CVD risk in female depressed patients with and without comorbid SH.
We recruited 1744 female inpatients with a diagnosis of DD. Venous blood samples were taken from all patients for lipid and thyroid hormones. Framingham Risk Score (FRS) was used to estimate the 10-year CVD risk.
Female depressed patients with SH had increased BMI, higher Hamilton Anxiety Scale (HAMA) scores, higher LDL-C, TC, UA, and a higher 10-year CVD risk than euthyroid DD groups. Serum TSH levels and HAMA scores were critical predictive variables for 10-year CVD risk in female depressed patients with comorbid SH.
Our study suggests that female depressed patients with SH have a high 10-year CVD risk. Serum TSH levels and HAMA scores may be helpful to predict cardiovascular risk in female patients with SH. The increased CVD risk in female depressed patients with comorbid SH requires more attention from researchers and clinicians."
152,37469167,2023-07-20,"Congenital hypothyroidism in Bogotá, Colombia: a current description (2015-2021).","congenital abnormalities"", ""congenital hypothyroidism"", ""congenital hypothyroidism screening"", ""newborn screening"", ""prevalence"", ""public health surveillance","Congenital hypothyroidism (CH) is a decrease in thyroid hormone function in newborns, being one of the leading causes of neurological deficits and long-term metabolic complications. This study aims to determine the prevalence and characteristics of CH cases in Bogotá, Colombia, between 2015 and 2021, as notified through the mandatory report to the Public Health Surveillance System (PHSS).
A retrospective cross-sectional study was conducted. All live births (LB) with a weight ≥500 g, diagnosed with CH with or without goiter (ICD-10 codes E030 and E031, respectively) in Bogotá during 2015-2021 were analyzed.
For a total of 201 cases, the prevalence rate was 3.29 cases per 10,000 LB. 92.54 % were classified as isolated cases of CH, 4.48 % syndromic, and 2.98 % polymalformated. A total of 16.92 % was small for gestational age. The mean gestational age was 37.38 weeks (SD 2.76), 26.87 % were preterm births. Among the mothers, 8.96 % suffered from pregnancy-related or chronic diseases, the most common being hypertensive disorders of pregnancy and pre-existant hypothyroidism (without clarity concerning etiology). A total of 66.67 % of cases did not receive treatment after diagnosis. Treatment was established by an average age of 27 days after birth (SD 36.02) and 17 days after case notification to the PHSS (SD 36.13).
Observed prevalence is similar to the rate reported by health authorities in Colombia but inferior to reports from high-income countries, highlighting the importance of improvements in the Colombian LB's screening program. Time to diagnosis and treatment was observed to be prolonged, suggesting that new pathways are required for timely CH treatment."
153,37464854,2023-07-19,Hypothyroidism among Pregnant Women Attending the Outpatient Department of Obstetrics in a Tertiary Care Centre: A Descriptive Cross-sectional Study.,N/A,"Hypothyroidism is a common endocrine disorder occurring in pregnancy. Maternal and fetal complications are present in these patients. Timely identification and treatment help in the prevention of complications. The aim of this study was to find out the prevalence of hypothyroidism among pregnant women attending the Outpatient Department of Obstetrics in a tertiary care centre.
A descriptive cross-sectional study was conducted in a tertiary care centre after taking ethical approval from the Institutional Review Committee (Reference number: 08/2021). Data from 1 January 2016 to 31 December 2020 were collected between 1 November 2021 to 31 November 2021. All pregnant women who had undergone thyroid level assessment in each trimester (first, second and third) and had delivered in the same centre were included in the study. However, pregnant women with comorbidities like hypertension, overt diabetes mellitus, hyperthyroidism, renal disease, cardiac disease, and neurological disorder were excluded. Convenience sampling method was used. Point estimate and 95% Confidence Interval were calculated.
Among 216 pregnant patients, the prevalence of hypothyroidism was 74 (34.25%) (27.92-40.57, 95% Confidence Interval). Maternal complications were seen in 33 (44.59%). The commonest complication was oligohydramnios 10 (13.51%) followed by preterm delivery 8 (10.81%).
The prevalence of hypothyroidism among pregnant women was found to be higher than other studies done in similar settings.
complications; hypothyroidism; miscarriage; pregnancy; thyroid."
154,37464851,2023-07-19,Subclinical Hypothyroidism among Patients with COVID-19 Infection in a Tertiary Care Centre: A Descriptive Cross-sectional Study.,N/A,"Hypothyroidism occurs as a consequence of chronic autoimmune inflammation of the thyroid gland, which occurs due to the reduced function in the secretion of thyroid hormones. The coronavirus disease infection has shown many complications in all organic systems, during the acute phase of infection and in the post-COVID-19 period. SARS-CoV-2 may induce thyroid dysfunction that is usually reversible, including subclinical and atypical thyroiditis. The aim of this study was to find out the prevalence of subclinical hypothyroidism among patients with COVID-19 infection in a tertiary care centre.
A descriptive cross-sectional study was conducted in the Department of Internal Medicine of a tertiary care centre from 1 September 2022 to 28 February 2023 after obtaining ethical approval from the Research and Institutional Review Committee (Reference number: 15-079/080). Convenience sampling method was used. Point estimate and 95% Confidence Interval were calculated.
Among 38 patients with COVID-19, subclinical hypothyroidism was seen among 23 (60.53%) (44.99-76.07, 95% Confidence Interval).
The prevalence of subclinical hypothyroidism among COVID-19 patients was found to be similar to other studies done in similar settings.
COVID-19; hypothyroidism; thyroid gland."
155,37458674,2023-07-17,Evaluation of Tp-E interval and Tp-E/Qtc ratios in patients with overt hypothyroidism and subclinical hypothyroidism.,N/A,"Tp-e interval and Tp-e/QTc are among the new-generation indicators used for predicting cardiac arrhythmia and ventricular repolarization. In this study, we aimed to evaluate Tp-e and Tp-e/QTc ratios in patients with overt hypothyroidism and subclinical hypothyroid patients.
In this study, a total of 105 patients were included with 35 overt hypothyroidism, 35 subclinical hypothyroidism, and 35 healthy euthyroid patients. The anthropometric measurements, laboratory results, and electrocardiographic data of the patients were measured. The groups were compared in terms of Tp-e interval, Tp-e/QT and Tp-e QT/c ratios.
When the Tp-e interval and Tp-e/QTc values of the patients were compared, a significant difference was found (p<0.001). A positive correlation was found between thyroid stimulating hormone (TSH) with Tp-e interval and Tp-e/QT ratio.
Tp-e interval and Tp-e/QTc duration increased in overt hypothyroidism and subclinical hypothyroidism patients compared to euthyroid patients. We believe that regular use of levothyroxine therapy in overt hypothyroidism patients will decrease cardiac mortality. Cardiac risk factors should be considered to decide on levothyroxine therapy for subclinical hypothyroidism patients."
156,37457610,2023-07-17,Pembrolizumab-Induced Hypothyroidism: A Case Report.,"drug-induced hypothyroidism"", ""hypothyroidism"", ""myasthenia gravis"", ""pembrolizumab"", ""seronegative myasthenia gravis","Pembrolizumab is a monoclonal antibody frequently used as immunotherapy for lung cell carcinoma that has been reported to cause hypothyroidism and myasthenia gravis among other, unwanted side effects. Here, we present an interesting case of a 77-year-old male previously diagnosed with lung adenocarcinoma managed with pembrolizumab. Initially, he was admitted after a mechanical fall sustaining a facial laceration and subacute fracture in the nasal bone. However, during the workup, thyroid-stimulating hormone (TSH) was found to be elevated, which was attributed to the history of pembrolizumab usage."
157,37456384,2023-07-17,The Impact of Hypothyroidism on Diabetes Mellitus and Its Complications: A Comprehensive Review.,"diabetic microvascular complications"", ""endocrine disorders"", ""hypothyroidism and type 2 diabetes mellitus"", ""thyroid disorder"", ""type 2 diabetes mellitus","Diabetes mellitus (DM) is one of the most prevalent metabolic disorders in the world and is characterized by excessive blood glucose levels, which lead to deranged carbohydrate, protein, and lipid metabolisms. At its core, DM is an impairment of insulin metabolism, leading to a plethora of clinical features. The thyroid gland is another vital cog in the wheel of the endocrine system, and the hormones synthesized by it are heavily involved in the control of the body's metabolism. Hypothyroidism is a state in which thyroid hormones are deficient due to various factors and is characterized by a metabolically hypoactive state. Together, insulin, implicated in DM, and thyroid hormones engage in an intricate dance and serve to regulate the body's metabolism. It is imperative to explore the relationship between these two common endocrine disorders to understand their clinical association and mold treatments specific to patients in which they coexist. Both type 1 diabetes mellitus (T1DM) and type 2 diabetes mellitus (T2DM) have been shown to have an increased association with hypothyroidism, especially in patients with risk factors including female sex, hyperlipidemia, obesity, and anemia. This review also explores DM's macrovascular and microvascular complications and their association with hypothyroidism. It is of great use to screen for hypothyroidism in diabetic patients. Specific protocols, especially for patients at an elevated risk, provide improved quality of life to patients affected by this highly prevalent disease."
158,37455308,2023-07-17,The clinical significance of low dose biotin supplements (<300μg/day) in the treatment of patients with hypothyroidism: crucial or overestimated?,"BCS"", ""Hypothyroidism"", ""TFTs","In the last decade, the combination of the widespread use of streptavidin-biotin technology and biotin-containing supplements (BCS) in the daily clinical practice, have led to numerous reports of erroneous hormone immunoassay results. However, there are no studies assessing the clinical and biochemical significance of that phenomenon, when treating patients with hypothyroidism. Therefore, a prospective study was designed to investigate the potential alterations in the measurement of thyroid hormone concentrations and clinical consequences in patients with hypothyroidism using low -dose BCS containing less than 300 μg/day.
Fifty-seven patients on thyroxine supplementation, as a result of hypothyroidism and concurrent use of BCS at a dose <300μg/day for 10 to 60 days were prospectively evaluated. Namely, TSH and free T4 (FT4) concentration measurements were performed, during BC supplementation and 10 days post BCS discontinuation and compared to 31 age-matched patients with supplemented hypothyroidism and without BCS.
A statistically significant increase in TSH and decline in FT4 concentrations was observed after BCS discontinuation. However, on clinical grounds, these modifications were minor and led to medication dose adjustment in only 2/57 patients (3.51%) in whom TSH was notably decreased after supplement discontinuation.
Our study suggests that changes in thyroid hormones profiling, due to supplements containing low dose biotin, are of minimal clinical relevance and in most cases don't occult the need to adjust the thyroxine replacement dose in patients with hypothyroidism. Larger, well-designed trials are required to further evaluate this phenomenon."
159,37448898,2023-07-14,An Interesting Case of Hypothyroidism Associated Acute Kidney Injury.,"Acute kidney injury"", ""acute tubular injury"", ""hypothyroidism"", ""rhabdomyolysis","Muscle involvement is common in hypothyroidism. However, hypothyroidism as a causal factor for severe rhabdomyolysis and acute kidney injury (AKI) is rarely reported. We report a case of a 56-year-old Arab male who presented with unexplained acute worsening of chronic kidney disease. The patient was detected to have hypothyroidism and rhabdomyolysis on laboratory investigations. However, thyroxine replacement led to partial recovery of renal function. CPK also improved with vigorous hydration and thyroxine replacement. Although this is a rare association, in the absence of other causes of rhabdomyolysis, hypothyroidism should be suspected in patients presenting with AKI and high creatinine phospho-kinase."
160,37448266,2023-07-14,[Hypothyroidism and aging: the search for protective factors].,N/A,"Searching for aging key points is one of the main problems in geriatrics. More and more research in recent years has been devoted to the study of geroprotective mechanisms, the impact of various conditions and diseases on aging in general. Of particular importance is the determination of age-related involutive processes in the human body, whether they are part of normal aging or a condition that needs to be corrected to improve the functioning of organs and systems. An important mechanism of aging starts is a change in hormonal activity of endocrine glands, in particular in hormonal activity of thyroid. Frequency of hypothyroidism in advanced age explains relevance of the chosen topic. The aim of the review was to find out the role hypothyroidism in aging. The main task was to define, whether thyroid hormones decrease in older age was a protective factor or pathological process. A review of the literature over the past 10 years on subclinical treatment was carried out and we identified the most pressing issues associated with hypothyroidism and aging. We studied data on the relationship between hypothyroidism and major geriatric syndromes, with special attention paid to cognitive diseases and emotional disorders.
Поиск ключевых звеньев процесса старения — одна из основных задач в развитии гериатрии. Все больше исследований в последние годы посвящено изучению геропротективных механизмов, влиянию различных состояний и заболеваний на старение в целом. Особое значение имеют определение возрастных инволютивных процессов в организме человека, решение вопроса о том, являются ли они частью нормального старения или патологией, которую необходимо корректировать в пожилом возрасте. Важным возраст-ассоциированным процессом является изменение активности эндокринной системы, одним из примеров которого являются нарушения в работе щитовидной железы. Высокая распространенность гипотиреоза в пожилом возрасте объясняет актуальность данной темы и наш интерес к ее изучению. Нашей задачей было оценить влияние снижения функции щитовидной железы на течение заболеваний у пациентов пожилого возраста. Нами был проведен обзор литературы за последние 10 лет, посвященный терапии гипотиреоза у гериатрических пациентов, и выявлены наиболее актуальные проблемы, связанные с компенсацией данной патологии у пожилых пациентов. Были изучены данные о взаимосвязи гипотиреоза и основных гериатрических синдромов, особое внимание было уделено связи с когнитивными нарушениями и нарушениями эмоциональной сферы."
