Article Count,Article ID,Publication Date,Title,Keywords,Abstract
109,31172694,2019-06-07,Performance of the 2015 American College of Rheumatology/European League against Rheumatism Classification Criteria for Gout in Korean Patients with Acute Arthritis.,"Classification Criteria"", ""Gout"", ""Monosodium Urate"", ""Sensitivity"", ""Specificity","We aimed to assess the performance of the 2015 American College of Rheumatology (ACR)/European League Against Rheumatism (EULAR) classification criteria for gout in Korean patients with acute arthritis and to compare the performance of the ACR/EULAR criteria to that of other sets of criteria for gout classification.
Patients with acute arthritis who underwent diagnostic arthrocentesis at one of the four participating rheumatology clinics were consecutively enrolled between February and December 2017. Crystal-proven gout was diagnosed upon confirming the presence of monosodium urate (MSU) crystals in patients with a clinical impression of gout as judged by the rheumatologist. The performance of the ACR/EULAR and other gout classification criteria, including the Rome, New York, American Rheumatism Association (ARA), Mexico, and Netherlands criteria, was analyzed regardless of the presence/absence of MSU crystals.
The study enrolled 118 gout patients (all crystal-proven) and 95 non-gout patients. According to the area under the curve, the diagnostic performance was the highest for the ACR/EULAR classification criteria (sensitivity, 80.5%; specificity, 95.8%; area under the curve, 0.966), followed by the Netherlands, Rome, ARA, New York, and Mexico criteria. All six sets of criteria demonstrated lower sensitivity in patients exhibiting the first episode of acute arthritis.
In Korean patients with acute arthritis, the ACR/EULAR classification criteria outperformed other sets of gout classification criteria even in the absence of information regarding the presence of MSU crystals. However, to enhance diagnostic sensitivity, synovial fluid analysis should be considered in patients with the first episode of acute arthritis."
110,31171010,2019-06-07,"Relapsing periodic arthritis, palindromic rheumatism and MEFV gene-related variants alleles in children.","FMF-related arthritis"", ""MEFV gene"", ""Palindromic rheumatism"", ""Recurrent synovitis of hip","Relapsing periodic arthritis is a general term used for a group of diseases with recurring and periodic nature, in which the joints are intermittently involved. The aim of this study is to evaluation of the possible relationship between MEFV gene mutations in intermittent arthritis of children which has recurring and periodic nature.
In this cross-sectional study we reviewed medical records of all patients with recurrent and periodic arthritis referred to pediatric rheumatology clinic from 2003 to 2019.We excluded all patients with suspicious anamnesis and/or positive history of FMF, JIA, gout, psoriasis, IBD and SLE. The peripheral blood of these patients was screened for the 12 common pathogenic MEFV gene variants (FMF Strip Assay, Vienna lab, Vienna, Austria) according to manufacturer's instructions.
Among 195 recorded files, 11 patients were identified with idiopathic recurrent and periodic feature. 3 patients suffering from recurrent transient synovitis hip (RSH) and 8 patients were fully compatible with the Pasero and Barbieri modified criteria of palindromic rheumatism (PR). Their mean age at diagnosis was 6.5 and 4.6 years and the average follow-up was 2.6 and 6.6 years in PR and RSH patients, respectively. The most frequently involved joints were knees and ankles in PR patients. The mean duration of attacks was 3.3 days in RSH patients and with various courses in PR. The median number of attacks was 4.75 in PR and 3 in RSH patients per year. In PR group 7 patients showed no mutations and all patients of RSH had these mutations; V726A, R761H, A744S as in heterozygote pattern.
An idiopathic relapsing periodic arthritis in children with exclusively hip involvement is a MEFV gene related arthropathy; whereas with various joint attacks it could be considered as childhood PR."
111,31167758,2019-06-07,2018 updated European League Against Rheumatism evidence-based recommendations for the diagnosis of gout.,"epidemiology"", ""gout"", ""health services research","Although gout is the most common inflammatory arthritis, it is still frequently misdiagnosed. New data on imaging and clinical diagnosis have become available since the first EULAR recommendations for the diagnosis of gout in 2006. This prompted a systematic review and update of the 2006 recommendations. A systematic review of the literature concerning all aspects of gout diagnosis was performed. Recommendations were formulated using a Delphi consensus approach. Eight key recommendations were generated. A search for crystals in synovial fluid or tophus aspirates is recommended in every person with suspected gout, because demonstration of monosodium urate (MSU) crystals allows a definite diagnosis of gout. There was consensus that a number of suggestive clinical features support a clinical diagnosis of gout. These are monoarticular involvement of a foot or ankle joint (especially the first metatarsophalangeal joint); previous episodes of similar acute arthritis; rapid onset of severe pain and swelling; erythema; male gender and associated cardiovascular diseases and hyperuricaemia. When crystal identification is not possible, it is recommended that any atypical presentation should be investigated by imaging, in particular with ultrasound to seek features suggestive of MSU crystal deposition (double contour sign and tophi). There was consensus that a diagnosis of gout should not be based on the presence of hyperuricaemia alone. There was also a strong recommendation that all people with gout should be systematically assessed for presence of associated comorbidities and risk factors for cardiovascular disease, as well as for risk factors for chronic hyperuricaemia. Eight updated, evidence-based, expert consensus recommendations for the diagnosis of gout are proposed."
112,31076945,2019-05-12,Efficacy of rituximab in resistant palindromic rheumatism: first report in literature.,"Palindromic rheumatism"", ""Rheumatoid arthritis"", ""Rituximab"", ""csDMARDs","Rituximab (RTX) provides significant clinical benefits in active rheumatoid arthritis (RA) patients with inadequate response to DMARDs and anti-TNF. There is no data regarding efficacy of RTX in seropositive Palindromic Rheumatism (PR), a forerunner of RA.
To determine the efficacy and safety of RTX treatment in active PR patients exhibiting inadequate response to conventional synthetic DMARDs (csDMARDs).
The retrospective study, over a period of 3 years, included seropositive (RF ± antiCCP) PR patients with inadequate control of PR (> 4 attacks per months) despite combination csDMARDs and were treated with RTX. All the patients were treated with an initial dose of 500 mg RTX and later with a second infusion after 2 weeks' period in those who did not achieve adequate/ complete disease control. Patients were continued on csDMARDS and retreated with RTX on relapse of symptoms.
Thirty-three seropositive PR patients with a mean age of 48.15 ± 14.2 years, mean disease duration of 68.4 ± 68.2 months, mean follow up period of 24.3 ± 10.8 months, were treated with RTX. 88% patients were on combination DMARDS and 79% patients were females. All patient achieved rapid and complete control of palindromic attacks with RTX. Fifteen patients had a relapse after a mean duration of 10.4 ± 5.5 months and needed repeat RTX infusions following which remission was achieved. None of the patients progressed to RA till the end of the follow-up. No serious adverse effects were recorded.
RTX treatment could be effective in achieving disease control in active palindromic rheumatism not responding to csDMARDs.
• PR is thought to be a forerunner of RA and rituximab (RTX) has been found to be effective in RA. • Our study supports the hypothesis that B cells play an important role in the pathophysiology of PR and that the combination (RTX+ conventional drugs) can prevent the disease evolution into RA. • This 3-year retrospective study showed that rituximab was found to be effective in those who responded poorly to conventional drugs and remission was achieved in all patients. • Although it is a rare disease, we see palindromic rheumatism patients in India more often. As the symptoms are very debilitating in these patients, in those patients, not controlled on conventional drugs, rituximab offers newer promise in controlling the attacks and prevents further progression to RA."
113,31016369,2019-04-25,[Depressive symptoms in early rheumatoid arthritis : Within the rheumatism network ADAPTHERA].,"ADAPTHERA"", ""DAS28"", ""HAQ"", ""PHQ-9"", ""WHO-5","For patients with established rheumatoid arthritis and also early arthritis an increased prevalence of depression has been described. For a better understanding of depression in early arthritis patients, depression prevalences of a German early arthritis cohort were examined, with a focus on disease activity, anti-CCP status, disease duration and functional capacity over a period of 2 years.
The evaluation was based on the early arthritis cohort ADAPTHERA from Rhineland-Palatinate. The inclusion criterion was a symptom duration before diagnosis of a maximum of 1 year. Data from the disease activity score 28 (DAS28), the Health Assessment Questionnaire (HAQ, functional status), the WHO-5 Well-Being Index (WHO-5, well-being and depressive symptoms) and the Patient Health Questionnaire-9 (PHQ-9, depressive symptoms) were collected.
At the beginning, 43.5% of patients had depressive symptoms (WHO-5 > 28). After the 2 year follow-up the percentage of patients with depressive symptoms had reduced to 20.8%. Correlations with disease activity according to DAS28 and the function of HAQ could be confirmed. There was no correlation between depressive symptoms and anti-CCP status (p = 0.431) or duration from symptom onset to diagnosis (p = 0.671).
Screening of early arthritis patients for the presence of depressive symptoms is of essential importance. Patients seem to be at high risk of developing depressive symptoms especially at the beginning of the disease and when showing high disability and poor results on disease activity score (DAS28 and visual analog scale)."
114,30987884,2019-04-17,Is Palindromic Rheumatism a Pre-rheumatoid Arthritis Condition? Low Incidence of Rheumatoid Arthritis in Palindromic Rheumatism Patients Treated with Tight Control Strategy.,"Artritis reumatoide"", ""Disease-modifying anti-rheumatic drugs"", ""Fármacos antirreumáticos modificadores de la enfermedad"", ""Palindromic rheumatism"", ""Remisión"", ""Remission"", ""Reumatismo palindrómico"", ""Rheumatoid arthritis","Palindromic rheumatism (PR) is characterized by repetitive, afebrile episodes of acute arthritis and peri-arthritis. The aim of this study was considering the long-term outcomes of patients with PR who were treated with tight control strategy using Disease-modifying anti-rheumatic drugs (DMARDs).
We reviewed the charts of 106 patients diagnosed with PR who were referred to the Connective Tissue Diseases Research Center (CTDRC). We recruited all the patients diagnosed with PR according to the criteria of Hannonen. They visited the CTDRC clinic regularly and were treated with hydroxychloroquine and low dose prednisolone because of active episodes of PR. In cases that the attacks did not come under control in 3-6 months, methotrexate was added or replaced and the dose was increased up to 25mg/week. In resistant cases, sulfasalazine was added, followed by the addition of leflunomide and then azathioprine. Disease outcome was evaluated by getting complete or partial remission and prevention of disease evolution to rheumatoid arthritis (RA) or other inflammatory connective tissue diseases.
This study included 92 patients with PR who were treated with DMARDs. Attacks were controlled completely or partially in 76 (82.6%) patients. Medications free remission was obtained in 16.3% of the patients. RA developed in 8.7% of the patients. By multivariate logistic regression analysis, age ≤40 at disease presentation, non-adherence to therapy and PIP joints involvement were the only factors which independently predicted the risk of treatment failure.
Tight control strategy by using DMARDs may control PR and prevent disease progression to RA."
115,30911837,2019-03-27,[Osteoporosis-frequent comorbidity in patients with rheumatism].,"Bisphosphonates"", ""Bone mineral density"", ""Glucocorticoids"", ""Osteonecrosis of the jaw"", ""Rheumatoid arthritis","Osteoporosis is one of the most frequent comorbidities in inflammatory rheumatic diseases. The immune system is substantially involved in the regulation of bone homeostasis and chronic inflammatory diseases influence this equilibrium at several levels. Besides the immunologically mediated inflammatory activity, immobility and glucocorticoid treatment are further risk factors for osteoporosis. Diagnostic and therapeutic recommendations are based on the current guidelines for osteoporosis of the Governing Body on Osteoporosis (DVO). Monitoring of the risk factors and bone mineral density testing is meaningful in each patient with a newly diagnosed rheumatic disease. In the case of a T-score ≤-1.5 a specific drug treatment with bisphosphonates, teriparatide or denosumab should be started together with optimizing preventive measures, such as reduction of glucocorticoid dosage, calcium and vitamin D intake and life style modifications. The risk of osteonecrosis of the jaw (ONJ) in patients with osteoporosis is small; however, there appears to be a significant increase in multiple vertebral fractures after discontinuation of denosumab."
116,30694360,2019-01-30,[Promotion of physical activity for older patients with rheumatism : Characteristics of inflammatory rheumatic diseases against the background of physical activity recommendations].,"Medical counseling"", ""Older adults"", ""Patient-oriented approach"", ""Physical activity"", ""Treatment","Due to the wide range of positive effects and the clear evidence of effectiveness, physical activity is one of the most important treatments for inflammatory rheumatic diseases. Because of the frequent overlap of disease and age-related aspects in older patients, the implementation of the German national physical activity recommendations has to be checked and accompanied by physicians. To get the older patients in motion, a patient-centered approach is required that takes the individual health problem(s) and the current context of life into account. This article provides an overview of the activity-related characteristics of older patients with inflammatory rheumatic diseases. Against this background a simple strategy is provided for promoting physical activity during medical consultation, which takes the characteristics of older patients with rheumatism into consideration. In this way, physicians can integrate a targeted, resource and time-saving economic strategy into consultations that is in concordance with the national physical activity recommendations."
117,30671186,2019-01-24,Chikungunya Masquerading as Acute Rheumatism in an Omani Traveler.,"Arthralgia"", ""Chikungunya Virus"", ""Epidemics"", ""Oman"", ""Pakistan"", ""Rheumatism","Chikungunya is a mosquito-borne viral disease. It typically presents as an acute febrile illness associated with a varying degree of arthralgia and musculoskeletal sequelae. Cases of chikungunya have been reported from more than 40 countries in several continents. Chikungunya is often reported in travelers returning to non-endemic/epidemic countries. With increasing international travel, it is vital that clinicians in non-endemic areas are made aware of this rapidly spreading infection. Increasing international travel (for social, leisure, and business) between Oman and several chikungunya endemic countries including Pakistan may facilitate the introduction of chikungunya to Oman. We report the first imported case of chikungunya in an Omani traveler with a link to the current outbreak in Pakistan."
118,30632540,2019-01-12,Turkish League Against Rheumatism (TLAR) Recommendations for the Pharmacological Management of Rheumatoid Arthritis: 2018 Update Under Guidance of Current Recommendations.,"Disease modifying anti-rheumatic drugs"", ""Turkish League Against Rheumatism"", ""management"", ""rheumatoid arthritis"", ""treatment recommendations","This study aims to report the assessment of the Turkish League Against Rheumatism (TLAR) expert panel on the compliance and adaptation of the European League Against Rheumatism (EULAR) 2016 recommendations for the management of rheumatoid arthritis (RA) in Turkey.
The EULAR 2016 recommendations for the treatment of RA were voted by 27 specialists experienced in this field with regard to participation rate for each recommendation and significance of items. Afterwards, each recommendation was brought forward for discussion and any alteration gaining ≥70% approval was accepted. Also, Turkish version of each item was rearranged. Last version of the recommendations was then revoted to determine the level of agreement. Levels of agreement of the two voting rounds were compared with Wilcoxon signed-rank test. In case of significant difference, the item with higher level of agreement was accepted. In case of no difference, the changed item was selected.
Four overarching principles and 12 recommendations were assessed among which three overarching principles and one recommendation were changed. The changed overarching principles emphasized the importance of physical medicine and rehabilitation specialists as well as rheumatologists for the care of RA patients in Turkey. An alteration was made in the eighth recommendation on treatment of active RA patients with unfavorable prognostic indicators after failure of three conventional disease modifying anti-rheumatic drugs. Remaining principles were accepted as the same although some alterations were suggested but could not find adequate support to reach significance.
Expert opinion of the TLAR for the treatment of RA was composed for practices in Turkish rheumatology and/or physical medicine and rehabilitation clinics."
119,30496561,2018-11-30,The performance of the European League Against Rheumatism/American College of Rheumatology idiopathic inflammatory myopathies classification criteria in an expert-defined 10 year incident cohort.,"classification"", ""dermatomyositis"", ""idiopathic inflammatory myopathies"", ""inclusion body myositis"", ""myositis"", ""polymyositis","To assess the performance of the EULAR/ACR idiopathic inflammatory myopathies (IIMs) classification criteria in a cohort of incident IIM cases and examine how criteria-assigned IIM subtype correlates with expert opinion.
Adults with newly diagnosed IIM attending Salford Royal NHS Foundation Trust were identified over a 10 year period. A retrospective review of all putative cases was performed and those fulfilling a consensus expert opinion diagnosis of IIM were included. Clinical, serological and histological data were collected and each case was assigned a single IIM subtype. The EULAR/ACR classification criteria were then applied and sensitivity, specificity and positive and negative predictive values were calculated, presented with 95% CIs.
A total of 1637 cases were screened, with 255 consensus expert opinion IIM cases ultimately identified. Applying the EULAR/ACR classification criteria, the sensitivity to diagnose an IIM was 99.6% (95% CI 97.2, 100) and 80.9% (95% CI 76.0, 85.8) for the criteria cut-points of probable and definite diagnoses, respectively. In 94/255 cases the IIM subtype differed between consensus expert opinion and classification criteria, most strikingly in the group subtyped as PM by the EULAR/ACR criteria, where there was discrepancy in the majority (i.e. in 87/161).
The EULAR/ACR criteria performed with high sensitivity in identifying IIM in this external cohort of incident IIM. However, substantial disagreements arose between consensus expert opinion and the criteria regarding IIM subtype assignments, resulting in a large proportion of criteria-assigned cases of PM having heterogeneous features. These results may have important implications for future use of these criteria in subsequent research."
120,30421032,2018-11-14,[Cervical spine involvement in rheumatoid arthritis : Diagnostics and treatment of instability due to rheumatism].,"Atlantoaxial instability"", ""Atlantoaxial subluxation"", ""Cervical myelopathy"", ""Cranial settling"", ""Surgery","In addition to involvement of small peripheral joints, the cervical spine is the second most affected body region in rheumatoid arthritis (RA). Due to improvement of pharmaceutical treatment in recent years, new data show that there is a decreasing prevalence of cervical involvement; however, depending on the severity of cervical lesions surgical treatment still plays an important role. The sequelae of involvement of the cervical spine are craniocervical and atlantoaxial instability, which can cause severe pain, neural deficits and even death. Multimodal conservative treatment can lead to an alleviation of pain but in cases of therapy-resistant pain or neural deficits surgical treatment alone is essential to improve patient outcome. For isolated atlantoaxial instability (AAS), atlantoaxial fusion by posterior C1-2 fixation according to Harms and Goel is the method of choice. Posterior stabilization including C0 should be avoided whenever possible due to substantial limitations in range of movement."
121,30297331,2018-10-10,Identification of a distinct imaging phenotype may improve the management of palindromic rheumatism.,"anti-CCP"", ""early rheumatoid arthritis"", ""magnetic resonance imaging"", ""ultrasonography","To use high-resolution imaging to characterise palindromic rheumatism (PR) and to compare the imaging pattern observed to that seen in new-onset rheumatoid arthritis (NORA).
Ultrasound (US) assessment of synovitis, tenosynovitis and non-synovial extracapsular inflammation (ECI) was performed during and between flares in a prospective treatment-naive PR cohort. MRI of the flaring region was performed where possible. For comparison, the same US assessment was also performed in anticyclic citrullinated peptide (CCP) positive individuals with musculoskeletal symptoms (CCP+ at risk) and patients with NORA.
Thirty-one of 79 patients with PR recruited were assessed during a flare. A high frequency of ECI was identified on US; 19/31 (61%) of patients had ECI including 12/19 (63%) in whom ECI was identified in the absence of synovitis. Only 7/31 (23%) patients with PR had synovitis (greyscale ≥1 and power Doppler ≥1) during flare. In the hands/wrists, ECI was more prevalent in PR compared with NORA and CCP+ at risk (65% vs 29 % vs 6%, p<0.05). Furthermore, ECI without synovitis was specific for PR (42% PR vs 4% NORA (p=0.003) and 6% CCP+ at risk (p=0.0012)). Eleven PR flares were captured by MRI, which was more sensitive than US for synovitis and ECI. 8/31 (26%) patients with PR developed RA and had a similar US phenotype to NORA at progression.
PR has a distinct US pattern characterised by reversible ECI, often without synovitis. In patients presenting with new joint swelling, US may refine management by distinguishing relapsing from persistent arthritis."
122,30207576,2018-09-13,Management of Psoriatic Arthritis: Turkish League Against Rheumatism (TLAR) Expert Opinions.,"Expert opinions"", ""Turkish League Against Rheumatism"", ""management"", ""psoriatic arthritis"", ""treatment recommendation","This study aims to establish the first national treatment recommendations by the Turkish League Against Rheumatism (TLAR) for psoriatic arthritis (PsA) based on the current evidence.
A systematic literature review was performed regarding the management of PsA. The TLAR expert committee consisted of 13 rheumatologists and 12 physical medicine and rehabilitation specialists experienced in the treatment and care of patients with PsA from 22 centers. The TLAR recommendations were built on those of European League Against Rheumatism (EULAR) 2015. Levels of evidence and agreement were determined.
Recommendations included five overarching principles and 13 recommendations covering therapies for PsA, particularly focusing on musculoskeletal involvement. Level of agreement was greater than eight for each item.
This is the first paper that summarizes the recommendations of TLAR as regards the treatment of PsA. We believe that this paper provides Turkish physicians dealing with PsA patients a practical guide in their routine clinical practice."
123,30206682,2018-09-13,"[Rheumatism operations in a state of flux-""Foot""].","Arthrodesis"", ""Joint preservation"", ""Minimally invasive surgery"", ""Orthopedic insoles"", ""Recognition","Surgical management of rheumatic feet has dramatically changed over the last decades influenced by the development of new pharmacological drugs and tissue-preserving surgical procedures. It has switched from joint resection to joint-sparing procedures as the method of choice. Nevertheless, the surgical interventions commonly used for non-rheumatic patients cannot be applied to rheumatic patients without reflection: in addition to the basic treatment, comorbidities, degree of mobilization of the patient, orthopedic shoe engineering and orthotic treatment play a major role. Due to the decreasing incidence of the classical rheumatic foot, it has become even more important for physicians, physiotherapists and ergotherapists to recognize the development of such a disease as early as possible and immediately start the appropriate treatment."
124,30191391,2018-09-08,[Adolescent rheumatism : The same but different].,"Adolescent health"", ""Chronic disease"", ""Juvenile idiopathic arthritis"", ""Pregnancy"", ""Systemic lupus erythematosus","Between childhood and adulthood, there often exists a difficult period of coming of age. This phase frequently represents a significant challenge for adolescents and young adults at the physical, psychological, and social level. Having trouble with adolescence itself it puts an extra weight on young people with chronic rheumatic diseases. Thus, medical and interpersonal support can be multifaceted. In light of this, support from an interprofessional team in the form of a specialist transition clinic has proven to be of great value. In the outpatient clinic established at the Inselspital Bern (Bern University Hospital), specialists in pediatric and adult rheumatology work together with a team of nurses, physiotherapists, occupational therapists, social workers, and psychologists, who are called in on an individual-requirement basis. All personnel involved in the care of these young patients should understand that a rheumatic disease developing in childhood normally progresses differently than it does if first developed during adulthood."
125,30069740,2018-08-03,[Back to school physical education despite rheumatism : Development and testing of a sport scientific-based physical education certification].,"Counselling"", ""Health condition"", ""Juvenile idiopathic arthritis"", ""Participation"", ""Pediatric rheumatism","Taking part in physical education is an important element of social participation for children with chronic diseases. Nevertheless, children suffering from rheumatism mostly receive recommendations to stop sport activities either completely or partially, without underlying scientific guidelines.
The aim was the development of an IT-tool based on scientific data in order to create individualized recommendations for sport activities plus verification of its practical feasibility.
An interdisciplinary group of experts developed and approved a prototype of the rheumatism and sports compass (Rheuma und Sport Kompass, RSK) based on the literature and own experience. They considered individual health factors and biomechanics of sports functions. The prototype was tested, revised and reconsidered in an interim evaluation. The resulting RSKv1 was evaluated in a clinical observation phase with 61 patients. The results were subsequently incorporated into the final version of RSK during an interdisciplinary decision-making process. This was verified in a feasibility study with a follow-up survey of rheumatic patients with a RSK partial participation certification for physical education including: clinical assessment during 8 lessons of physical education and after 8 lessons of physical education. Teachers rated the RSK online after 8 lessons. The evaluation was descriptive and differences in mean values were tested.
In this study 50 patients and 31 teachers were evaluated. The affliction of pain decreased in terms of frequency, amount and duration after physical education with RSK. No worsening in health was reported after participation in sports. The teachers rated the RSK as understandable, practicable and they felt confident to allow the patients to participate in classes. The RSK was rated significantly better than a standard certification text. With the RSK, patients can be advised to safely take part in physical education."
126,30048527,2018-07-27,"Risk of autoimmune rheumatic diseases in patients with palindromic rheumatism: A nationwide, population-based, cohort study.",N/A,"To estimate the relative risk of autoimmune rheumatic diseases, including rheumatoid arthritis (RA), systemic lupus erythematosus (SLE), systemic sclerosis (SSc), Sjogren's syndrome (SS), dermatomyositis (DM) and polymyositis (PM), among patients with palindromic rheumatism (PR) compared with non-PR individuals.
The study utilized 2003-2013 claims data from the Taiwanese National Health Insurance Research Database. We identified 4,421 cases of PR from 2007 to 2012 and randomly chose 44,210 non-PR individuals who matched (1:10) for age, sex and the year of index date without prior history of RA, SLE, SSc, SS, DM, or PM. After adjusting for age, sex, and the Charlson comorbidity index, we calculated the hazard ratios (HRs) with 95% confidence intervals (CIs) using the Cox proportional hazard model to quantify the risk of RA, SLE, SS, DM and PM in PR patients compared with that in matched non-PR individuals.
Among the 4,421 patients with PR, 569 (12.87%) developed RA, 269 (6.08%) developed SS, 113 (2.56%) developed SLE, 5 (0.11%) developed SSc, 8 (0.18%) developed PM, and 1 (0.02%) developed DM. After adjusting for potential confounders, the patients with PR had an increased risk of RA (HR, 118.76; 95% CI, 89.81-157.04), SS (HR, 59.57; 95% CI, 43.87-80.88), SLE (HR, 51.56; 95% CI, 32.96-80.66) PM (HR, 57.38; 95% CI, 6.90-476.83), and SSc (HR, 13.42; 95% CI, 3.79-47.55) but not of DM (HR, 3.44; 95% CI, 0.34-34.59).
Patients with PR had an increased risk of developing RA, SS, SLE, PM, and SSc."
127,30043177,2018-07-26,[Transition in pediatric rheumatology-experiences from the pediatric rheumatism center Sankt Augustin].,"Adolescents"", ""Biologics"", ""Disease-modifying antirheumatic drugs"", ""Juvenile idiopathic arthritis"", ""Rheumatic diseases"", ""Transition","Transition is a joint effort of the young patients, their families and the attending pediatric and adult rheumatologists. The quality of the transitional process for patients with rheumatic diseases was retrospectively reviewed using a standardized questionnaire. Patients were transferred to rheumatologists for adult care through personal contact, if possible.
Inclusion criteria were: diagnosis of chronic inflammatory rheumatic joint disease or systemic rheumatic disease, duration of care for >2 years in the pediatric rheumatology center and ≥2 presentations at the age of 17-18 years. A telephone interview was performed using a standardized questionnaire on the type of care, medication, diagnosis, satisfaction with the care and the transition process.
Of the 62 enrolled patients 50 (81%) had juvenile idiopathic arthritis (JIA). In total, 40 patients (65%) were seen by an adult rheumatologist on a regular basis. Reasons for discontinuation of medical care were mainly freedom of symptoms, lack of time and non-compliance. Before and after transition, 15 and 9 patients, respectively were treated with conventional disease-modifying antirheumatic drugs (DMARD) and 27 and 27, respectively with biologics. The subjective assessment of medical care in pediatric rheumatology was (mean ± SD) 9.3 ± 1.05, in adult rheumatology 7.6 ± 1.1 and the satisfaction with the transition process was 7.7 ± 2.1. Problem issues mentioned by some patients were lack of time with the rheumatologist and long waiting periods for appointments.
Individual transfer of patients from pediatric to adult rheumatology care was associated with a high degree of satisfaction in this analysis. Change of diagnosis or an unexpected termination of rheumatology treatment was not detected."
128,30002701,2018-07-14,"Do the European League Against Rheumatism (EULAR) Sjögren's syndrome outcome measures correlate with impaired quality of life, fatigue, anxiety and depression in primary Sjögren's syndrome?","EULAR Sjögren’s syndrome disease activity index"", ""EULAR Sjögren’s syndrome patient reported index"", ""Sjögren’s syndrome"", ""anxiety"", ""depression"", ""quality of life","The aim of the study was to investigate whether there is a relationship between the European League Against Rheumatism (EULAR) outcome measures and quality of life (QoL), fatigue, anxiety and depression in patients with pSS and to define determinants which could affect quality of life.
The study included 105 pSS patients and 72 age/sex-matched healthy controls (HCs). Cross-sectional clinical data were collected, including the Hospital Anxiety and Depression Scale (HADS), the Multidimensional Assessment of Fatigue (MAF) scale, the Short Form (SF-36), EULAR Sjögren's syndrome disease activity index (ESSDAI) and EULAR Sjögren's syndrome patient reported index (ESSPRI).
The SF-36 scores were significantly lower and anxiety, depression and fatigue scores were significantly higher in the pSS group than in the control group (all 
The results of this study provide further evidence supporting the use of ESSDAI and ESSPRI in daily practice. Quality of life was diminished in patients with pSS and was associated with different symptoms. This should be taken into account when managing patients with pSS."
129,29997080,2018-07-13,Treatment of chronic inflammatory rheumatism by biotherapy in Gabon : eligibility and follow-up of the first 8 patients in sub-Saharan Africa.,"Gabon"", ""biotherapies"", ""chronic inflammatory rheumatism","to clarify the eligibility criteria for biotherapies in patients with chronic inflammatory rheumatism (CIR) in sub-Saharan Africa and to describe the characteristics of the first 8 patients treated with biotherapy in Gabon.
Patients who responded inadequately to treatments by cDMARDs (EULAR criteria) had a face-to-face interview to inform them about and obtain their consent to biotherapy for at least 3 months, with details of the cost and side effects of each available biotherapy and a certificate of ""necessity of biotherapy"". The inclusion and follow-up of patients took place in the outpatient rheumatology consultations at the University Hospital of Libreville (Gabon) between January 2010 and December 2016.
Of the 30 patients who failed cDMARDs and required biologic treatment, 8 (26.6%) were able to start a biotherapy: 4 men and 4 women with rheumatoid arthritis (n = 4.50%), spondyloarthritis or psoriatic rheumatism (n = 2.25% each). The biotherapy was etanercept (n = 4, 50%), adalimumab, golimumab, infliximab and rituximab (n = 1, 12.5% each). The average duration of the biotherapy was 27.4 months (9-54). Biotherapy was stopped in 4 cases (50%), one each (12.5%) for multifocal tuberculosis, pregnancy, financial reasons, and remission.
Our study shows that biotherapies, which are currently very expensive, can be prescribed in Africa provided that the usual recommendations are followed strictly. Here, access to biotherapies is only possible through private insurance and the rheumatologist must play the role of facilitator for needy and consenting patients."
130,29900976,2018-06-15,Turkish League Against Rheumatism Consensus Report: Recommendations For Management of Axial Spondyloarthritis.,"Axial spondyloarthritis"", ""comorbidities"", ""exercises"", ""nonpharmacological management"", ""treatment","This study aims to update 2011 Turkish League Against Rheumatism SpondyloArthritis Recommendations, and to compose a national expert opinion on management of axial spondyloArthritis under guidance of current guidelines, and implantation and dissemination of these international guidelines into our clinical practice.
A scientific committee of 28 experts consisting of 14 rheumatologists and 14 physical medicine and rehabilitation specialists (one of them also has an immunology PhD) was formed. The recommendations, systematic reviews, and meta-analyses including pharmacologic and non-pharmacologic treatment were scrutinized paying special attention with convenient key words. The draft of Turkish League Against Rheumatism opinion whose roof consisted of international treatment recommendations, particularly the Assessment of SpondyloArthritis International Society/European League Against Rheumatism recommendations was composed. Assessment of level of agreement with opinions by task force members was established through the Delphi technique. Voting using a numerical rating scale assessed the strength of each recommendation.
Panel compromised on five basic principles and 13 recommendations including pharmacological and nonpharmacological methods. All of the recommendations had adequate strength.
Turkish League Against Rheumatism expert opinion for the management of axial spondyloArthritis was developed based on scientific evidence. These recommendations will be updated regularly in accordance with current developments."
